Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Efficiency_WhKm,FastChargeSpeed_kmph
4.5 sec,205 km/h,420 km,186 Wh/km,,All Wheel Drive,5,58775.0,,186,650
4.2 sec,205 km/h,410 km,190 Wh/km,,All Wheel Drive,5,65275.0,,190,630
6.7 sec,200 km/h,500 km,165 Wh/km,,Rear Wheel Drive,5,,,165,700
4.1 sec,200 km/h,470 km,176 Wh/km,,All Wheel Drive,5,,,176,650
4.1 sec,200 km/h,465 km,178 Wh/km,,All Wheel Drive,5,,,178,650
6.4 sec,200 km/h,375 km,200 Wh/km,,Rear Wheel Drive,5,,,200,780
6.4 sec,200 km/h,470 km,200 Wh/km,,Rear Wheel Drive,5,,,200,980
3.9 sec,200 km/h,440 km,214 Wh/km,,All Wheel Drive,5,,,214,920
8.2 sec,150 km/h,170 km,170 Wh/km,,Front Wheel Drive,4,60000.0,,170,240
6.3 sec,180 km/h,400 km,193 Wh/km,,All Wheel Drive,5,53255.0,,193,560
10.0 sec,155 km/h,300 km,161 Wh/km,,Front Wheel Drive,5,40000.0,,161,290
8.0 sec,167 km/h,400 km,164 Wh/km,,Front Wheel Drive,5,48000.0,,164,410
7.3 sec,160 km/h,350 km,166 Wh/km,,Rear Wheel Drive,5,39995.0,,166,450
7.9 sec,160 km/h,455 km,169 Wh/km,,Rear Wheel Drive,4,47595.0,,169,680
9.4 sec,180 km/h,460 km,217 Wh/km,,Rear Wheel Drive,7,65000.0,,217,870
5.3 sec,180 km/h,450 km,222 Wh/km,,All Wheel Drive,7,70000.0,,222,850
8.2 sec,150 km/h,310 km,155 Wh/km,,Front Wheel Drive,5,41850.0,,155,480
9.2 sec,180 km/h,345 km,261 Wh/km,,Front Wheel Drive,7,,,261,290
3.7 sec,250 km/h,490 km,208 Wh/km,,All Wheel Drive,5,200000.0,,208,730
8.0 sec,180 km/h,470 km,164 Wh/km,,Rear Wheel Drive,5,55000.0,,164,700
7.0 sec,180 km/h,520 km,165 Wh/km,,Rear Wheel Drive,5,60000.0,,165,800
7.4 sec,180 km/h,510 km,184 Wh/km,,Rear Wheel Drive,5,60000.0,,184,760
3.8 sec,200 km/h,475 km,198 Wh/km,,All Wheel Drive,5,65000.0,,198,710
4.1 sec,220 km/h,405 km,235 Wh/km,,All Wheel Drive,5,,,235,440
