Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Citroen e-SpaceTourer XL 75 kWh	68 kWh useable battery          Available since February 2021	13.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€60,430	
Opel Zafira-e Life M 50 kWh	46.3 kWh useable battery          Available since November 2020	12.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€63,250	
Opel Zafira-e Life L 50 kWh	46.3 kWh useable battery          Available since November 2020	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€64,075	
Opel Zafira-e Life M 75 kWh	68 kWh useable battery          Available since February 2021	13.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€69,250	
Opel Zafira-e Life L 75 kWh	68 kWh useable battery          Available since February 2021	13.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€70,075	
Peugeot e-Traveller Standard 50 kWh	46.3 kWh useable battery          Available since November 2020	13.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€53,640	
Peugeot e-Traveller Long 50 kWh	46.3 kWh useable battery          Available since November 2020	13.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€54,430	
Peugeot e-Traveller Standard 75 kWh	68 kWh useable battery          Available since February 2021	14.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€59,640	
Peugeot e-Traveller Long 75 kWh	68 kWh useable battery          Available since February 2021	14.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€60,430	
Porsche Taycan 	71 kWh useable battery          Available since February 2021	5.4 sec	230 km/h	410 km	173 Wh/km		Rear Wheel Drive	4	€88,399	
Porsche Taycan Plus	83.7 kWh useable battery          Available since February 2021	5.4 sec	230 km/h	475 km	176 Wh/km		Rear Wheel Drive	4	€94,123	
Tesla Model S Dual Motor	95 kWh useable battery          Available since January 2023	3.2 sec	250 km/h	570 km	167 Wh/km		All Wheel Drive	5	€112,990	
Tesla Model S Plaid	95 kWh useable battery          Available since November 2022	2.1 sec	282 km/h	550 km	173 Wh/km		All Wheel Drive	5	€137,990	
Tesla Model X Dual Motor	95 kWh useable battery          Available since January 2023	3.9 sec	250 km/h	470 km	202 Wh/km		All Wheel Drive	7	€120,990	
Tesla Model X Plaid	95 kWh useable battery          Available since November 2022	2.6 sec	262 km/h	455 km	209 Wh/km		All Wheel Drive	7	€140,990	
Mini Cooper SE 	28.9 kWh useable battery          Available since March 2021	7.3 sec	150 km/h	180 km	161 Wh/km		Front Wheel Drive	4	€35,700	
JAC iEV7s 	39 kWh useable battery          Available since February 2021	12.0 sec	132 km/h	225 km	173 Wh/km		Front Wheel Drive	5		
Volkswagen ID.4 Pure Performance	52 kWh useable battery          Available since January 2021	9.0 sec	160 km/h	285 km	182 Wh/km		Rear Wheel Drive	5		
