Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Mercedes EQS SUV 450+	108.4 kWh useable battery          Available since December 2022	6.7 sec	210 km/h	495 km	219 Wh/km		Rear Wheel Drive	7	€110,801	
Mercedes EQS SUV 450 4MATIC	108.4 kWh useable battery          Available since December 2022	6.0 sec	210 km/h	485 km	224 Wh/km		All Wheel Drive	7	€114,609	
Mercedes EQS SUV 580 4MATIC	108.4 kWh useable battery          Available since December 2022	4.6 sec	210 km/h	485 km	224 Wh/km		All Wheel Drive	7	€135,434	
BMW i7 xDrive60	101.7 kWh useable battery          Available since November 2022	4.7 sec	240 km/h	510 km	199 Wh/km		All Wheel Drive	5	€135,900	
Lexus RZ 450e	64 kWh useable battery          Available since February 2023	5.6 sec	160 km/h	310 km	206 Wh/km		All Wheel Drive	5	€68,000	
Aiways U5 	60 kWh useable battery          Available since April 2022	7.5 sec	150 km/h	315 km	190 Wh/km		Front Wheel Drive	5	€39,563	
Mazda MX-30 	30 kWh useable battery          Available since May 2022	9.7 sec	140 km/h	170 km	176 Wh/km		Front Wheel Drive	5	€35,990	
Lucid Air Dream Edition R	118 kWh useable battery          Available since January 2022	2.9 sec	270 km/h	685 km	172 Wh/km		All Wheel Drive	5	€218,000	
Mercedes EQA 250	66.5 kWh useable battery          Available since June 2022	8.6 sec	160 km/h	355 km	187 Wh/km		Front Wheel Drive	5	€50,777	
Mercedes EQA 250+	70.5 kWh useable battery          Available since June 2022	8.6 sec	160 km/h	375 km	188 Wh/km		Front Wheel Drive	5	€52,205	
Mercedes EQS 450 4MATIC	107.8 kWh useable battery          Available since June 2022	5.6 sec	210 km/h	615 km	175 Wh/km		All Wheel Drive	5	€113,359	
Mercedes EQS 500 4MATIC	107.8 kWh useable battery          Available since June 2022	4.8 sec	210 km/h	605 km	178 Wh/km		All Wheel Drive	5	€125,378	
BMW iX1 xDrive30	64.7 kWh useable battery          Available since November 2022	5.6 sec	180 km/h	355 km	182 Wh/km		All Wheel Drive	5	€55,000	
Volkswagen ID.4 Pro 4MOTION	77 kWh useable battery          Available since June 2022	6.9 sec	180 km/h	405 km	190 Wh/km		All Wheel Drive	5	€49,020	
Genesis G80 Electrified Luxury	82.5 kWh useable battery          Available since June 2022	4.9 sec	225 km/h	440 km	188 Wh/km		All Wheel Drive	5	€69,200	
Dacia Spring Electric 45	25 kWh useable battery          Available since July 2022	19.1 sec	125 km/h	165 km	152 Wh/km		Front Wheel Drive	4	€22,550	
Citroen e-C4 X 	46.3 kWh useable battery          Available since November 2022	9.7 sec	150 km/h	275 km	168 Wh/km		Front Wheel Drive	5	€37,540	
MG MG4 Electric 51 kWh	50.8 kWh useable battery          Available since October 2022	7.7 sec	160 km/h	300 km	169 Wh/km		Rear Wheel Drive	5	€31,990	
MG MG4 Electric 64 kWh	61.7 kWh useable battery          Available since October 2022	7.9 sec	160 km/h	365 km	169 Wh/km		Rear Wheel Drive	5	€35,990	
Fisker Ocean Sport	75 kWh useable battery          Available since March 2023	7.4 sec	160 km/h	380 km	197 Wh/km		Front Wheel Drive	5	€41,560	
Fisker Ocean Ultra	100 kWh useable battery          Available since March 2023	4.2 sec	200 km/h	510 km	196 Wh/km		All Wheel Drive	5	€57,000	
Fisker Ocean Extreme	100 kWh useable battery          Available since March 2023	3.9 sec	200 km/h	510 km	196 Wh/km		All Wheel Drive	5	€69,950	
Fisker Ocean One	100 kWh useable battery          Available since March 2023	3.9 sec	200 km/h	510 km	196 Wh/km		All Wheel Drive	5	€69,950	
Mercedes EQE 300	89 kWh useable battery          Available since July 2022	7.6 sec	210 km/h	515 km	173 Wh/km		Rear Wheel Drive	5	€66,402	
Mercedes EQE 350	89 kWh useable battery          Available since July 2022	6.4 sec	210 km/h	515 km	173 Wh/km		Rear Wheel Drive	5	€70,210	
Mercedes EQE 350 4MATIC	90.6 kWh useable battery          Available since July 2022	6.3 sec	210 km/h	500 km	181 Wh/km		All Wheel Drive	5	€73,363	
Mercedes EQE 500 4MATIC	90.6 kWh useable battery          Available since July 2022	4.7 sec	210 km/h	500 km	181 Wh/km		All Wheel Drive	5	€87,286	
Hyundai IONIQ 6 Standard Range 2WD	54 kWh useable battery          Available since January 2023	8.8 sec	185 km/h	360 km	150 Wh/km		Rear Wheel Drive	5	€43,900	
Hyundai IONIQ 6 Long Range 2WD	74 kWh useable battery          Available since December 2022	7.4 sec	185 km/h	475 km	156 Wh/km		Rear Wheel Drive	5	€54,000	
Hyundai IONIQ 6 Long Range AWD	74 kWh useable battery          Available since November 2022	5.1 sec	185 km/h	440 km	168 Wh/km		All Wheel Drive	5	€61,100	
Audi Q4 Sportback e-tron 45 quattro	76.6 kWh useable battery          Available since July 2022	6.9 sec	180 km/h	400 km	192 Wh/km		All Wheel Drive	5	€55,900	
Fiat E-Ulysse L2 50 kWh	46.3 kWh useable battery          Available since June 2022	12.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€55,990	
Fiat E-Ulysse L2 75 kWh	68 kWh useable battery          Available since June 2022	13.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€61,990	
Fiat E-Ulysse L3 50 kWh	46.3 kWh useable battery          Available since June 2022	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€56,990	
Fiat E-Ulysse L3 75 kWh	68 kWh useable battery          Available since June 2022	13.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€62,990	
Genesis GV70 Electrified Sport	74 kWh useable battery          Available since October 2022	4.2 sec	235 km/h	350 km	211 Wh/km		All Wheel Drive	5	€67,300	
Fiat 500e 3+1 24 kWh	21.3 kWh useable battery          Available since July 2022	9.0 sec	135 km/h	135 km	158 Wh/km		Front Wheel Drive	4		
Fiat 500e Cabrio 24 kWh	21.3 kWh useable battery          Available since July 2022	9.0 sec	135 km/h	135 km	158 Wh/km		Front Wheel Drive	4	€35,490	
Tesla Model Y 	57.5 kWh useable battery          Available since November 2022	6.9 sec	217 km/h	345 km	167 Wh/km		Rear Wheel Drive	5	€47,567	
Peugeot e-308 	50.8 kWh useable battery          Expected from May 2023	9.0 sec	150 km/h	310 km	164 Wh/km		Front Wheel Drive	5	€44,000	
Peugeot e-308 SW 	50.8 kWh useable battery          Expected from May 2023	9.0 sec	150 km/h	300 km	169 Wh/km		Front Wheel Drive	5	€45,000	
Hongqi E-HS9 84 kWh	76.5 kWh useable battery          Available since December 2022	6.5 sec	200 km/h	305 km	251 Wh/km		All Wheel Drive	5		
Hongqi E-HS9 99 kWh	90 kWh useable battery          Available since December 2022	4.9 sec	200 km/h	355 km	254 Wh/km		All Wheel Drive	5		
Smart #1 Brabus	62 kWh useable battery          Available since March 2023	3.9 sec	180 km/h	320 km	194 Wh/km		All Wheel Drive	5	€48,990	
Kia e-Soul 64 kWh	64 kWh useable battery          Available since September 2022	7.9 sec	167 km/h	370 km	173 Wh/km		Front Wheel Drive	5	€46,950	
Kia e-Soul 39.2 kWh	39.2 kWh useable battery          Available since September 2022	9.9 sec	157 km/h	230 km	170 Wh/km		Front Wheel Drive	5		
NIO ET7 75 kWh	70.5 kWh useable battery          Available since October 2022	3.8 sec	200 km/h	400 km	176 Wh/km		All Wheel Drive	5	€81,900	
NIO ET7 100 kWh	90 kWh useable battery          Available since October 2022	3.8 sec	200 km/h	505 km	178 Wh/km		All Wheel Drive	5	€90,900	
Ford Mustang Mach-E SR RWD	70 kWh useable battery          Available since November 2022	6.9 sec	180 km/h	355 km	197 Wh/km		Rear Wheel Drive	5	€62,900	
Ford Mustang Mach-E ER RWD	91 kWh useable battery          Available since November 2022	7.0 sec	180 km/h	455 km	200 Wh/km		Rear Wheel Drive	5	€71,200	
Ford Mustang Mach-E SR AWD	70 kWh useable battery          Available since November 2022	6.3 sec	180 km/h	345 km	203 Wh/km		All Wheel Drive	5	€69,200	
Ford Mustang Mach-E ER AWD	91 kWh useable battery          Available since November 2022	5.8 sec	180 km/h	440 km	207 Wh/km		All Wheel Drive	5	€77,200	
Ford Mustang Mach-E GT	91 kWh useable battery          Available since November 2022	4.4 sec	200 km/h	425 km	214 Wh/km		All Wheel Drive	5	€86,200	
Polestar 3 Long Range Dual motor	107 kWh useable battery          Available since November 2022	5.0 sec	210 km/h	490 km	218 Wh/km		All Wheel Drive	5	€88,600	
Polestar 3 Long Range Performance	107 kWh useable battery          Available since November 2022	4.7 sec	210 km/h	470 km	228 Wh/km		All Wheel Drive	5	€95,200	
Mercedes EQE SUV 350+	90.6 kWh useable battery          Available since December 2022	7.0 sec	210 km/h	470 km	193 Wh/km		Rear Wheel Drive	5	€90,000	
Mercedes EQE SUV 350 4MATIC	90.6 kWh useable battery          Available since December 2022	6.5 sec	210 km/h	455 km	199 Wh/km		All Wheel Drive	5	€95,000	
Mercedes EQE SUV 500 4MATIC	90.6 kWh useable battery          Available since December 2022	5.0 sec	210 km/h	455 km	199 Wh/km		All Wheel Drive	5	€115,000	
Mercedes EQE SUV AMG 43 4MATIC	90.6 kWh useable battery          Available since December 2022	4.3 sec	210 km/h	435 km	208 Wh/km		All Wheel Drive	5	€124,920	
Mercedes EQE SUV AMG 53 4MATIC+	90.6 kWh useable battery          Expected from May 2023	3.5 sec	240 km/h	425 km	213 Wh/km		All Wheel Drive	5	€130,000	
Rolls-Royce Spectre 	100 kWh useable battery          Expected from November 2023	4.5 sec	250 km/h	455 km	220 Wh/km		All Wheel Drive	4	€400,000	
Aiways U6 	60 kWh useable battery          Available since December 2022	7.0 sec	160 km/h	350 km	171 Wh/km		Front Wheel Drive	5	€47,588	
Lotus Eletre 	107 kWh useable battery          Available since March 2023	4.5 sec	250 km/h	520 km	206 Wh/km		All Wheel Drive	5	€95,990	
Lotus Eletre R	107 kWh useable battery          Available since March 2023	2.9 sec	260 km/h	450 km	238 Wh/km		All Wheel Drive	5	€150,990	
Audi Q8 e-tron 50 quattro	89 kWh useable battery          Available since December 2022	6.0 sec	200 km/h	415 km	214 Wh/km		All Wheel Drive	5	€74,400	
Audi Q8 e-tron 55 quattro	106 kWh useable battery          Available since December 2022	5.6 sec	200 km/h	495 km	214 Wh/km		All Wheel Drive	5	€85,300	
Audi Q8 e-tron Sportback 50 quattro	89 kWh useable battery          Available since December 2022	6.0 sec	200 km/h	440 km	202 Wh/km		All Wheel Drive	5	€76,650	
Audi Q8 e-tron Sportback 55 quattro	106 kWh useable battery          Available since December 2022	5.6 sec	200 km/h	525 km	202 Wh/km		All Wheel Drive	5	€87,550	
Audi SQ8 e-tron 	106 kWh useable battery          Expected from May 2023	4.5 sec	210 km/h	445 km	238 Wh/km		All Wheel Drive	5	€110,000	
Audi SQ8 e-tron Sportback 	106 kWh useable battery          Expected from May 2023	4.5 sec	210 km/h	470 km	226 Wh/km		All Wheel Drive	5	€115,000	
Volvo EX90 Twin Motor	107 kWh useable battery          Available since December 2022	5.9 sec	180 km/h	455 km	235 Wh/km		All Wheel Drive	7	€105,550	
Volvo EX90 Twin Motor Performance	107 kWh useable battery          Available since December 2022	4.9 sec	180 km/h	440 km	243 Wh/km		All Wheel Drive	7	€110,650	
Mercedes EQB 250+	70.5 kWh useable battery          Available since November 2022	8.9 sec	160 km/h	365 km	193 Wh/km		Front Wheel Drive	7	€53,978	
Toyota Proace City Verso Electric L1 50 kWh	46.3 kWh useable battery          Available since April 2022	11.2 sec	135 km/h	210 km	220 Wh/km		Front Wheel Drive	5	€37,800	
Toyota Proace City Verso Electric L2 50 kWh	46.3 kWh useable battery          Available since April 2022	11.2 sec	135 km/h	205 km	226 Wh/km		Front Wheel Drive	7	€40,150	
ORA Funky Cat 48 kWh	45.4 kWh useable battery          Available since November 2022	8.3 sec	160 km/h	260 km	175 Wh/km		Front Wheel Drive	5	€38,990	
BYD ATTO 3 	60 kWh useable battery          Available since August 2022	7.3 sec	160 km/h	320 km	188 Wh/km		Front Wheel Drive	5	€44,625	
BYD TANG 	84 kWh useable battery          Available since August 2022	4.6 sec	180 km/h	350 km	240 Wh/km		All Wheel Drive	7	€71,400	
BYD HAN 	83 kWh useable battery          Available since March 2023	3.9 sec	180 km/h	465 km	178 Wh/km		All Wheel Drive	5	€70,805	
BMW i4 eDrive35	67 kWh useable battery          Available since November 2022	6.0 sec	190 km/h	400 km	168 Wh/km		Rear Wheel Drive	5	€56,500	
NIO ET5 75 kWh	70.5 kWh useable battery          Available since December 2022	4.0 sec	200 km/h	395 km	178 Wh/km		All Wheel Drive	5	€59,500	
NIO ET5 100 kWh	90 kWh useable battery          Available since December 2022	4.0 sec	200 km/h	495 km	182 Wh/km		All Wheel Drive	5	€68,500	
NIO EL7 75 kWh	70.5 kWh useable battery          Available since December 2022	3.9 sec	200 km/h	340 km	207 Wh/km		All Wheel Drive	5	€85,900	
NIO EL7 100 kWh	90 kWh useable battery          Available since December 2022	3.9 sec	200 km/h	430 km	209 Wh/km		All Wheel Drive	5	€94,900	
Abarth 500e Scorpionissima	37.3 kWh useable battery          Available since January 2023	7.0 sec	155 km/h	225 km	166 Wh/km		Front Wheel Drive	4	€43,000	
DS 3 E-Tense	50.8 kWh useable battery          Available since November 2022	9.0 sec	150 km/h	300 km	169 Wh/km		Front Wheel Drive	5	€40,540	
Opel Astra Electric	50.8 kWh useable battery          Expected from May 2023	8.5 sec	170 km/h	310 km	164 Wh/km		Front Wheel Drive	5	€40,000	
Opel Astra Sports Tourer Electric	50.8 kWh useable battery          Expected from May 2023	8.5 sec	170 km/h	300 km	169 Wh/km		Front Wheel Drive	5	€42,000	
Jeep Avenger Electric 1st Edition	50.8 kWh useable battery          Available since January 2023	9.0 sec	150 km/h	295 km	172 Wh/km		Front Wheel Drive	5	€39,900	
Mercedes EQS SUV 500 4MATIC	108.4 kWh useable battery          Available since December 2022	5.2 sec	210 km/h	485 km	224 Wh/km		All Wheel Drive	7	€124,545	
Volvo XC40 Recharge Single Motor	66 kWh useable battery          Available since December 2022	7.3 sec	180 km/h	345 km	191 Wh/km		Rear Wheel Drive	5	€47,500	
Volvo XC40 Recharge Single Motor ER	79 kWh useable battery          Available since December 2022	7.3 sec	180 km/h	405 km	195 Wh/km		Rear Wheel Drive	5	€53,000	
Volvo XC40 Recharge Twin Motor	79 kWh useable battery          Available since December 2022	4.8 sec	180 km/h	390 km	203 Wh/km		All Wheel Drive	5	€59,950	
Volvo C40 Recharge Single Motor	66 kWh useable battery          Available since December 2022	7.3 sec	180 km/h	355 km	186 Wh/km		Rear Wheel Drive	5	€47,500	
Volvo C40 Recharge Single Motor ER	79 kWh useable battery          Available since December 2022	7.3 sec	180 km/h	420 km	188 Wh/km		Rear Wheel Drive	5	€54,450	
Volvo C40 Recharge Twin Motor	79 kWh useable battery          Available since December 2022	4.7 sec	180 km/h	400 km	198 Wh/km		All Wheel Drive	5	€61,400	
Renault Kangoo E-Tech Electric	44 kWh useable battery          Available since December 2022	12.6 sec	132 km/h	215 km	205 Wh/km		Front Wheel Drive	5	€39,300	
Maserati GranTurismo Folgore	83 kWh useable battery          Expected from June 2023	2.7 sec	320 km/h	425 km	195 Wh/km		All Wheel Drive	4	€250,000	
Seres 3 	51 kWh useable battery          Available since October 2021	8.9 sec	155 km/h	260 km	196 Wh/km		Front Wheel Drive	5		
VinFast VF 8 Eco Standard Range	82 kWh useable battery          Expected from May 2023	5.9 sec	200 km/h	405 km	202 Wh/km		All Wheel Drive	5	€61,700	
VinFast VF 8 Eco Extended Range	87.7 kWh useable battery          Expected from May 2023	5.9 sec	200 km/h	425 km	206 Wh/km		All Wheel Drive	5	€63,850	
VinFast VF 8 Plus Standard Range	82 kWh useable battery          Expected from May 2023	5.5 sec	200 km/h	400 km	205 Wh/km		All Wheel Drive	5	€68,700	
VinFast VF 8 Plus Extended Range	87.7 kWh useable battery          Expected from May 2023	5.5 sec	200 km/h	425 km	206 Wh/km		All Wheel Drive	5	€72,500	
VinFast VF 9 Standard Range	92 kWh useable battery          Expected from June 2023	6.5 sec	200 km/h	400 km	230 Wh/km		All Wheel Drive	7	€82,250	
VinFast VF 9 Extended Range	123 kWh useable battery          Expected from June 2023	6.5 sec	200 km/h	520 km	237 Wh/km		All Wheel Drive	7	€89,800	
Jaguar I-Pace EV400	84.7 kWh useable battery          Available since January 2023	4.8 sec	200 km/h	380 km	223 Wh/km		All Wheel Drive	5	€92,400	
Dacia Spring Electric 65 Extreme	25 kWh useable battery          Available since January 2023	13.7 sec	125 km/h	160 km	156 Wh/km		Front Wheel Drive	4	€24,550	
ORA Funky Cat 63 kWh	59.3 kWh useable battery          Available since April 2023	8.2 sec	160 km/h	340 km	174 Wh/km		Front Wheel Drive	5	€44,490	
ORA Funky Cat GT	59.3 kWh useable battery          Available since April 2023	8.2 sec	160 km/h	330 km	180 Wh/km		Front Wheel Drive	5	€49,490	
Jeep Avenger Electric 	50.8 kWh useable battery          Available since January 2023	9.0 sec	150 km/h	300 km	169 Wh/km		Front Wheel Drive	5	€37,000	
Polestar 2 Standard Range Single Motor	67 kWh useable battery          Available since January 2023	6.4 sec	205 km/h	385 km	174 Wh/km		Rear Wheel Drive	5	€50,775	
Polestar 2 Long Range Single Motor	78 kWh useable battery          Available since January 2023	6.2 sec	205 km/h	440 km	177 Wh/km		Rear Wheel Drive	5	€54,475	
Polestar 2 Long Range Dual Motor	78 kWh useable battery          Available since January 2023	4.5 sec	205 km/h	420 km	186 Wh/km		All Wheel Drive	5	€58,775	
Polestar 2 Long Range Performance	78 kWh useable battery          Available since January 2023	4.2 sec	205 km/h	410 km	190 Wh/km		All Wheel Drive	5	€65,275	
XPENG P7 RWD Long Range	82.7 kWh useable battery          Available since February 2023	6.7 sec	200 km/h	500 km	165 Wh/km		Rear Wheel Drive	5		
XPENG P7 AWD Performance	82.7 kWh useable battery          Available since February 2023	4.1 sec	200 km/h	470 km	176 Wh/km		All Wheel Drive	5		
XPENG P7 Wing Edition	82.7 kWh useable battery          Available since February 2023	4.1 sec	200 km/h	465 km	178 Wh/km		All Wheel Drive	5		
XPENG G9 RWD Standard Range	75 kWh useable battery          Available since February 2023	6.4 sec	200 km/h	375 km	200 Wh/km		Rear Wheel Drive	5		
XPENG G9 RWD Long Range	94 kWh useable battery          Available since February 2023	6.4 sec	200 km/h	470 km	200 Wh/km		Rear Wheel Drive	5		
XPENG G9 AWD Long Range	94 kWh useable battery          Available since February 2023	3.9 sec	200 km/h	440 km	214 Wh/km		All Wheel Drive	5		
Mini Cooper SE Convertible	28.9 kWh useable battery          Available since April 2023	8.2 sec	150 km/h	170 km	170 Wh/km		Front Wheel Drive	4	€60,000	
Volkswagen ID.4 GTX	77 kWh useable battery          Available since July 2022	6.3 sec	180 km/h	400 km	193 Wh/km		All Wheel Drive	5	€53,255	
Hyundai Kona Electric 48 kWh	48.4 kWh useable battery          Expected from September 2023	10.0 sec	155 km/h	300 km	161 Wh/km		Front Wheel Drive	5	€40,000	
Hyundai Kona Electric 65 kWh	65.4 kWh useable battery          Expected from September 2023	8.0 sec	167 km/h	400 km	164 Wh/km		Front Wheel Drive	5	€48,000	
Volkswagen ID.3 Pro	58 kWh useable battery          Available since March 2023	7.3 sec	160 km/h	350 km	166 Wh/km		Rear Wheel Drive	5	€39,995	
Volkswagen ID.3 Pro S - 4 Seats	77 kWh useable battery          Available since March 2023	7.9 sec	160 km/h	455 km	169 Wh/km		Rear Wheel Drive	4	€47,595	
Kia EV9 99.8 kWh RWD	99.8 kWh useable battery          Expected from September 2023	9.4 sec	180 km/h	460 km	217 Wh/km		Rear Wheel Drive	7	€65,000	
Kia EV9 99.8 kWh AWD	99.8 kWh useable battery          Expected from September 2023	5.3 sec	180 km/h	450 km	222 Wh/km		All Wheel Drive	7	€70,000	
Peugeot e-208 	48.1 kWh useable battery          Available since November 2022	8.2 sec	150 km/h	310 km	155 Wh/km		Front Wheel Drive	5	€41,850	
Maxus MIFA 9 	90 kWh useable battery          Available since February 2023	9.2 sec	180 km/h	345 km	261 Wh/km		Front Wheel Drive	7		
BMW i7 M70 xDrive	101.7 kWh useable battery          Expected from September 2023	3.7 sec	250 km/h	490 km	208 Wh/km		All Wheel Drive	5	€200,000	
Volkswagen ID.7 Pro	77 kWh useable battery          Expected from October 2023	8.0 sec	180 km/h	470 km	164 Wh/km		Rear Wheel Drive	5	€55,000	
Volkswagen ID.7 Pro S	86 kWh useable battery          Expected from October 2023	7.0 sec	180 km/h	520 km	165 Wh/km		Rear Wheel Drive	5	€60,000	
Polestar 4 Long Range Single Motor	94 kWh useable battery          Expected from February 2024	7.4 sec	180 km/h	510 km	184 Wh/km		Rear Wheel Drive	5	€60,000	
Polestar 4 Long Range Dual Motor	94 kWh useable battery          Expected from February 2024	3.8 sec	200 km/h	475 km	198 Wh/km		All Wheel Drive	5	€65,000	
Maserati Grecale Folgore	95 kWh useable battery          Expected from September 2023	4.1 sec	220 km/h	405 km	235 Wh/km		All Wheel Drive	5		
