Brand,Model,TopSpeed_KmH,Range_Km,Efficiency_WhKm,PowerTrain,BodyStyle,Seats,PriceEuro
Skoda ,Enyaq iV vRS,180,400,193,AWD,SUV,5,47500
Skoda ,Enyaq iV 60,160,320,181,RWD,SUV,5,37500
Audi ,e-tron S 55 quattro,210,320,270,AWD,SUV,5,93800
Smart ,EQ fortwo cabrio,130,95,176,RWD,Cabrio,2,24565
Nissan ,Ariya e-4ORCE 87kWh,200,420,207,AWD,Hatchback,5,57500
Fiat ,500e Convertible,150,250,168,FWD,Cabrio,4,37900
Volkswagen ,ID.3 Pro Performance,160,340,171,RWD,Hatchback,5,35575
Kia ,e-Soul 39 kWh,157,230,170,FWD,SUV,5,33133
Byton ,M-Byte 72 kWh 2WD,190,325,222,RWD,SUV,5,53500
Nissan ,Ariya 63kWh,160,330,191,FWD,Hatchback,5,45000
Audi ,e-tron S Sportback 55 quattro,210,335,258,AWD,SUV,5,96050
Nissan ,Ariya e-4ORCE 63kWh,200,325,194,AWD,Hatchback,5,50000
Nissan ,Ariya e-4ORCE 87kWh Performance,200,375,232,AWD,Hatchback,5,65000
Byton ,M-Byte 95 kWh 2WD,190,400,238,AWD,SUV,5,62000
